CIVILSTAND;ALDER;TID;INDHOLD
Gift/separeret;62 år;2020K3;43448
Gift/separeret;63 år;2020K3;43091
Gift/separeret;64 år;2020K3;42626
Gift/separeret;65 år;2020K3;41748
Gift/separeret;66 år;2020K3;41256
Gift/separeret;67 år;2020K3;41847
Gift/separeret;68 år;2020K3;39519
Gift/separeret;69 år;2020K3;39923
Gift/separeret;70 år;2020K3;40211
Gift/separeret;71 år;2020K3;40334
Gift/separeret;72 år;2020K3;41382
Gift/separeret;73 år;2020K3;43032
Gift/separeret;74 år;2020K3;41821
Gift/separeret;75 år;2020K3;37834
Gift/separeret;76 år;2020K3;33398
Gift/separeret;77 år;2020K3;29320
Gift/separeret;78 år;2020K3;25026
Gift/separeret;79 år;2020K3;21144
Gift/separeret;80 år;2020K3;19247
Gift/separeret;81 år;2020K3;16701
Gift/separeret;82 år;2020K3;14663
Gift/separeret;83 år;2020K3;12386
Gift/separeret;84 år;2020K3;10034
Gift/separeret;85 år;2020K3;8063
Gift/separeret;86 år;2020K3;6580
Gift/separeret;87 år;2020K3;5031
Gift/separeret;88 år;2020K3;4017
Gift/separeret;89 år;2020K3;3009
Gift/separeret;90 år;2020K3;2211
Gift/separeret;91 år;2020K3;1716
Gift/separeret;92 år;2020K3;1150
Gift/separeret;93 år;2020K3;827
Gift/separeret;94 år;2020K3;586
Gift/separeret;95 år;2020K3;337
Gift/separeret;96 år;2020K3;182
Gift/separeret;97 år;2020K3;119
Gift/separeret;98 år;2020K3;58
Gift/separeret;99 år;2020K3;41
Gift/separeret;100 år;2020K3;15
Gift/separeret;101 år;2020K3;15
Gift/separeret;102 år;2020K3;4
Gift/separeret;103 år;2020K3;3
Gift/separeret;104 år;2020K3;0
Gift/separeret;105 år;2020K3;0
Gift/separeret;106 år;2020K3;0
Gift/separeret;107 år;2020K3;0
Gift/separeret;108 år;2020K3;0
Gift/separeret;109 år;2020K3;0
Gift/separeret;110 år;2020K3;0
Gift/separeret;111 år;2020K3;0
Gift/separeret;112 år;2020K3;0
Gift/separeret;113 år;2020K3;0
Gift/separeret;114 år;2020K3;0
Gift/separeret;115 år;2020K3;0
Gift/separeret;116 år;2020K3;0
Gift/separeret;117 år;2020K3;0
Gift/separeret;118 år;2020K3;0
Gift/separeret;119 år;2020K3;0
Gift/separeret;120 år;2020K3;0
Gift/separeret;121 år;2020K3;0
Gift/separeret;122 år;2020K3;0
Gift/separeret;123 år;2020K3;0
Gift/separeret;124 år;2020K3;0
Gift/separeret;125 år;2020K3;0
Ugift;I alt;2020K3;2854659
Ugift;0 år;2020K3;61714
Ugift;1 år;2020K3;61131
Ugift;2 år;2020K3;62545
Ugift;3 år;2020K3;62702
Ugift;4 år;2020K3;61435
Ugift;5 år;2020K3;58745
Ugift;6 år;2020K3;58012
Ugift;7 år;2020K3;59986
Ugift;8 år;2020K3;60999
Ugift;9 år;2020K3;64168
Ugift;10 år;2020K3;66607
Ugift;11 år;2020K3;67995
Ugift;12 år;2020K3;68433
Ugift;13 år;2020K3;67720
Ugift;14 år;2020K3;67857
Ugift;15 år;2020K3;67797
Ugift;16 år;2020K3;68268
Ugift;17 år;2020K3;66935
Ugift;18 år;2020K3;67567
Ugift;19 år;2020K3;70392
Ugift;20 år;2020K3;71719
Ugift;21 år;2020K3;73175
Ugift;22 år;2020K3;72933
Ugift;23 år;2020K3;75833
Ugift;24 år;2020K3;75656
Ugift;25 år;2020K3;76432
Ugift;26 år;2020K3;72168
Ugift;27 år;2020K3;69156
Ugift;28 år;2020K3;63848
Ugift;29 år;2020K3;59449
Ugift;30 år;2020K3;53845
Ugift;31 år;2020K3;48323
Ugift;32 år;2020K3;42279
Ugift;33 år;2020K3;38601
Ugift;34 år;2020K3;35196
Ugift;35 år;2020K3;31591
Ugift;36 år;2020K3;28562
Ugift;37 år;2020K3;26573
Ugift;38 år;2020K3;25176
Ugift;39 år;2020K3;24010
Ugift;40 år;2020K3;23554
Ugift;41 år;2020K3;22628
Ugift;42 år;2020K3;21481
Ugift;43 år;2020K3;20789
Ugift;44 år;2020K3;21380
Ugift;45 år;2020K3;20905
Ugift;46 år;2020K3;19898
Ugift;47 år;2020K3;19292
Ugift;48 år;2020K3;19368
Ugift;49 år;2020K3;17758
Ugift;50 år;2020K3;16668
Ugift;51 år;2020K3;16519
Ugift;52 år;2020K3;16816
Ugift;53 år;2020K3;17891
Ugift;54 år;2020K3;17317
Ugift;55 år;2020K3;16267
Ugift;56 år;2020K3;15723
Ugift;57 år;2020K3;14427
Ugift;58 år;2020K3;13504
Ugift;59 år;2020K3;12520
Ugift;60 år;2020K3;11751
Ugift;61 år;2020K3;10983
Ugift;62 år;2020K3;10695
Ugift;63 år;2020K3;10066
Ugift;64 år;2020K3;9258
Ugift;65 år;2020K3;8613
Ugift;66 år;2020K3;8013
Ugift;67 år;2020K3;7323
Ugift;68 år;2020K3;6557
Ugift;69 år;2020K3;5782
Ugift;70 år;2020K3;5342
Ugift;71 år;2020K3;4787
Ugift;72 år;2020K3;4452
Ugift;73 år;2020K3;4214
Ugift;74 år;2020K3;3812
Ugift;75 år;2020K3;3218
Ugift;76 år;2020K3;2765
Ugift;77 år;2020K3;2302
Ugift;78 år;2020K3;1874
Ugift;79 år;2020K3;1658
Ugift;80 år;2020K3;1456
Ugift;81 år;2020K3;1403
Ugift;82 år;2020K3;1174
Ugift;83 år;2020K3;1083
Ugift;84 år;2020K3;928
Ugift;85 år;2020K3;786
Ugift;86 år;2020K3;676
Ugift;87 år;2020K3;640
Ugift;88 år;2020K3;541
Ugift;89 år;2020K3;455
Ugift;90 år;2020K3;373
Ugift;91 år;2020K3;343
Ugift;92 år;2020K3;267
Ugift;93 år;2020K3;215
Ugift;94 år;2020K3;164
Ugift;95 år;2020K3;142
Ugift;96 år;2020K3;101
Ugift;97 år;2020K3;66
Ugift;98 år;2020K3;50
Ugift;99 år;2020K3;47
Ugift;100 år;2020K3;20
Ugift;101 år;2020K3;9
Ugift;102 år;2020K3;10
Ugift;103 år;2020K3;1
Ugift;104 år;2020K3;2
Ugift;105 år;2020K3;2
Ugift;106 år;2020K3;1
Ugift;107 år;2020K3;0
Ugift;108 år;2020K3;1
Ugift;109 år;2020K3;0
Ugift;110 år;2020K3;0
Ugift;111 år;2020K3;0
Ugift;112 år;2020K3;0
Ugift;113 år;2020K3;0
Ugift;114 år;2020K3;0
Ugift;115 år;2020K3;0
Ugift;116 år;2020K3;0
Ugift;117 år;2020K3;0
Ugift;118 år;2020K3;0
Ugift;119 år;2020K3;0
Ugift;120 år;2020K3;0
Ugift;121 år;2020K3;0
Ugift;122 år;2020K3;0
Ugift;123 år;2020K3;0
Ugift;124 år;2020K3;0
Ugift;125 år;2020K3;0
